repository_language,type,active_repos_by_url,events,year,quarter
Rust,IssuesEvent,473,4688,2014,4
Clojure,IssuesEvent,775,3764,2014,4
PowerShell,ForkEvent,459,1319,2014,4
IDL,PushEvent,339,2604,2014,4
Idris,PushEvent,70,469,2014,4
D,WatchEvent,570,1589,2014,4
LiveScript,WatchEvent,106,459,2014,4
ASP,IssuesEvent,65,584,2014,4
Processing,WatchEvent,443,1425,2014,4
AutoHotkey,PushEvent,388,2889,2014,4
PowerShell,IssuesEvent,228,1041,2014,4
Kotlin,PushEvent,439,2684,2014,4
Pascal,PushEvent,1270,13959,2014,4
nesC,PushEvent,115,1397,2014,4
Racket,PushEvent,863,7535,2014,4
Standard ML,WatchEvent,90,287,2014,4
Vala,WatchEvent,140,892,2014,4
GAP,PushEvent,89,1298,2014,4
GDScript,PushEvent,21,391,2014,4
Erlang,WatchEvent,1575,6627,2014,4
SourcePawn,PushEvent,265,3153,2014,4
Nix,PushEvent,323,7738,2014,4
Lua,IssuesEvent,867,5641,2014,4
TypeScript,IssuesEvent,276,3371,2014,4
Pike,PushEvent,13,436,2014,4
OpenEdge ABL,WatchEvent,58,163,2014,4
SQL,PushEvent,82,2493,2014,4
SystemVerilog,PushEvent,110,1790,2014,4
ColdFusion,PushEvent,352,3627,2014,4
Groovy,IssuesEvent,618,3188,2014,4
SQF,IssuesEvent,88,1047,2014,4
DM,IssuesEvent,33,1594,2014,4
Verilog,WatchEvent,203,431,2014,4
Erlang,ForkEvent,1108,2539,2014,4
Common Lisp,WatchEvent,742,2874,2014,4
Swift,IssuesEvent,820,3266,2014,4
Clojure,ForkEvent,1329,3911,2014,4
Max,PushEvent,245,1974,2014,4
Perl6,WatchEvent,60,98,2014,4
Chapel,PushEvent,26,435,2014,4
LiveScript,PushEvent,268,2135,2014,4
Coq,WatchEvent,77,236,2014,4
Julia,WatchEvent,546,2556,2014,4
Shen,WatchEvent,5,10,2014,4
Stata,PushEvent,199,1557,2014,4
Julia,IssuesEvent,302,1780,2014,4
MoonScript,IssuesEvent,7,60,2014,4
Visual Basic,ForkEvent,289,850,2014,4
Common Lisp,ForkEvent,313,542,2014,4
EmberScript,PushEvent,17,130,2014,4
OpenSCAD,PushEvent,547,3145,2014,4
Java,CreateEvent,446,450,2014,4
FORTRAN,WatchEvent,213,410,2014,4
F#,IssuesEvent,145,1343,2014,4
Slash,ForkEvent,8,43,2014,4
DM,ForkEvent,74,704,2014,4
Lasso,ForkEvent,15,24,2014,4
ColdFusion,WatchEvent,131,203,2014,4
SQF,WatchEvent,135,305,2014,4
TypeScript,ForkEvent,603,2360,2014,4
Logtalk,PushEvent,1,349,2014,4
ABAP,PushEvent,27,196,2014,4
Apex,PushEvent,361,2868,2014,4
Smalltalk,IssuesEvent,30,161,2014,4
Haxe,ForkEvent,290,744,2014,4
OCaml,IssuesEvent,289,1887,2014,4
Arduino,IssuesEvent,228,560,2014,4
Julia,ForkEvent,310,881,2014,4
Vala,IssuesEvent,54,370,2014,4
VHDL,WatchEvent,138,255,2014,4
Logos,PushEvent,399,2787,2014,4
R,CreateEvent,181,182,2014,4
Racket,ForkEvent,146,225,2014,4
MoonScript,PushEvent,53,600,2014,4
Gosu,IssuesEvent,42,399,2014,4
