repository_language,type,active_repos_by_url,events
ANTLR,WatchEvent,28,33
ANTLR,ForkEvent,11,13
Assembly,ForkEvent,266,731
Assembly,WatchEvent,420,2621
Matlab,CreateEvent,1529,2526
Tcl,CreateEvent,129,345
Puppet,ForkEvent,1324,3129
Haxe,ForkEvent,188,552
M,PushEvent,243,1532
Brightscript,WatchEvent,12,66
Slash,PushEvent,55,588
Verilog,ForkEvent,119,229
Verilog,WatchEvent,165,355
Objective-J,WatchEvent,69,181
Xtend,PushEvent,71,809
IDL,CreateEvent,259,411
TeX,ForkEvent,808,2131
Volt,PushEvent,6,63
Volt,ForkEvent,3,3
Volt,WatchEvent,3,6
Rust,IssuesEvent,107,2296
nesC,PushEvent,236,4014
R,WatchEvent,1318,4506
Haskell,ForkEvent,1220,2503
Smalltalk,PushEvent,141,1388
Matlab,WatchEvent,585,1385
Common Lisp,ForkEvent,308,625
Awk,PushEvent,109,699
Julia,IssuesEvent,251,3191
FORTRAN,ForkEvent,152,288
Haxe,IssuesEvent,132,2086
Haxe,WatchEvent,488,2058
LiveScript,ForkEvent,50,174
Kotlin,PushEvent,86,869
Tcl,WatchEvent,86,191
FORTRAN,IssuesEvent,58,379
MoonScript,PushEvent,45,545
LiveScript,IssuesEvent,69,725
ANTLR,PushEvent,48,227
Delphi,WatchEvent,70,97
XSLT,ForkEvent,265,1148
F#,IssuesEvent,131,1786
Augeas,CreateEvent,9,22
Augeas,PushEvent,20,127
Kotlin,CreateEvent,32,436
Dart,WatchEvent,713,2805
ColdFusion,WatchEvent,167,390
Scilab,PushEvent,74,458
Perl6,PushEvent,69,700
Scheme,IssuesEvent,101,438
ColdFusion,IssuesEvent,65,674
F#,CreateEvent,396,1034
DM,CreateEvent,222,1353
Logos,IssuesEvent,33,93
Nimrod,PushEvent,113,800
Objective-J,IssuesEvent,11,309
Racket,WatchEvent,245,738
F#,ForkEvent,169,521
J,CreateEvent,5,6
Pascal,IssuesEvent,77,498
Processing,WatchEvent,302,1023
M,ForkEvent,40,81
Prolog,PushEvent,96,385
LiveScript,WatchEvent,99,802
RobotFramework,WatchEvent,6,6
Visual Basic,IssuesEvent,129,789
Verilog,CreateEvent,193,332
Apex,CreateEvent,148,400
UnrealScript,PushEvent,91,1316
Pascal,ForkEvent,114,284
Apex,PushEvent,281,2255
Parrot,PushEvent,14,212
Ada,CreateEvent,52,93
ASP,IssuesEvent,40,232
NetLogo,PushEvent,58,489
XC,PushEvent,69,552
Kotlin,IssuesEvent,13,110
Assembly,CreateEvent,672,940
Standard ML,PushEvent,226,2899
nesC,WatchEvent,57,172
OpenEdge ABL,PushEvent,195,1934
Scheme,WatchEvent,425,1264
DM,ForkEvent,53,506
ASP,CreateEvent,561,759
Io,WatchEvent,51,687
Dart,ForkEvent,431,1131
Racket,ForkEvent,109,213
Coq,WatchEvent,51,133
OCaml,IssuesEvent,218,1678
Visual Basic,CreateEvent,981,1389
AutoIt,PushEvent,160,1216
Pure Data,IssuesEvent,6,22
Dylan,PushEvent,55,523
DM,WatchEvent,49,154
Slash,WatchEvent,14,46
xBase,CreateEvent,17,202
DOT,PushEvent,266,2914
Eiffel,PushEvent,92,963
Scheme,ForkEvent,295,702
Smalltalk,CreateEvent,49,478
Common Lisp,WatchEvent,670,3005
Logtalk,PushEvent,6,343
Agda,PushEvent,94,926
BlitzBasic,ForkEvent,43,148
Crystal,PushEvent,10,266
CLIPS,PushEvent,35,232
VHDL,IssuesEvent,145,399
Squirrel,PushEvent,73,405
Common Lisp,IssuesEvent,176,858
Vala,ForkEvent,59,181
Elixir,ForkEvent,154,474
nesC,CreateEvent,108,605
Apex,IssuesEvent,27,560
Ada,PushEvent,122,1337
DOT,CreateEvent,90,177
Dylan,IssuesEvent,5,39
OpenEdge ABL,ForkEvent,45,80
BlitzBasic,WatchEvent,46,119
Lasso,CreateEvent,55,224
Matlab,IssuesEvent,190,1055
Lasso,PushEvent,150,1487
Io,PushEvent,46,315
NetLogo,CreateEvent,34,69
Idris,PushEvent,46,314
Brightscript,IssuesEvent,9,227
Logos,WatchEvent,184,478
Apex,ForkEvent,120,250
Elixir,IssuesEvent,79,699
Slash,CreateEvent,27,126
LiveScript,CreateEvent,147,349
OpenEdge ABL,CreateEvent,67,115
Boo,PushEvent,36,316
Haxe,CreateEvent,352,772
Max,CreateEvent,85,128
Brightscript,PushEvent,34,621
Tcl,IssuesEvent,33,174
Apex,WatchEvent,95,243
Nimrod,IssuesEvent,22,389
XML,ForkEvent,48,79
Oxygene,ForkEvent,28,57
nesC,ForkEvent,54,149
Coq,IssuesEvent,11,55
REALbasic,PushEvent,23,173
FORTRAN,WatchEvent,168,353
eC,PushEvent,5,19
XQuery,PushEvent,105,1064
Logos,ForkEvent,130,303
J,PushEvent,13,92
Standard ML,IssuesEvent,15,114
Verilog,IssuesEvent,19,142
Scilab,ForkEvent,27,35
Lasso,ForkEvent,15,270
Nemerle,WatchEvent,35,119
Pure Data,CreateEvent,61,74
DOT,WatchEvent,45,208
VHDL,WatchEvent,91,200
Rebol,PushEvent,16,69
Factor,PushEvent,21,263
Racket,CreateEvent,240,359
BlitzBasic,IssuesEvent,13,94
Delphi,PushEvent,24,109
Scheme,CreateEvent,504,840
ColdFusion,ForkEvent,158,330
IDL,WatchEvent,75,220
Mirah,IssuesEvent,1,12
xBase,IssuesEvent,2,217
IDL,IssuesEvent,30,525
Objective-J,CreateEvent,29,64
Idris,WatchEvent,28,181
Gosu,WatchEvent,59,176
HaXe,WatchEvent,98,205
Squirrel,ForkEvent,21,36
Squirrel,WatchEvent,26,44
DOT,IssuesEvent,19,140
M,IssuesEvent,8,37
Objective-J,ForkEvent,41,72
Standard ML,WatchEvent,57,223
COBOL,ForkEvent,6,17
AppleScript,ForkEvent,73,140
AutoHotkey,IssuesEvent,39,225
Awk,WatchEvent,30,198
Monkey,PushEvent,22,127
Arc,IssuesEvent,4,18
Ecl,PushEvent,15,85
Arc,PushEvent,23,207
Ceylon,PushEvent,33,345
XML,WatchEvent,51,109
Lasso,WatchEvent,17,61
Delphi,ForkEvent,48,66
Kotlin,WatchEvent,32,148
Standard ML,ForkEvent,36,104
Slash,ForkEvent,12,46
AutoHotkey,ForkEvent,77,129
HaXe,ForkEvent,56,85
ASP,ForkEvent,130,204
Crystal,IssuesEvent,2,46
Nimrod,CreateEvent,49,127
Nimrod,ForkEvent,32,77
SuperCollider,IssuesEvent,4,31
Kotlin,ForkEvent,19,45
Nemerle,PushEvent,76,514
BlitzBasic,CreateEvent,116,636
Agda,CreateEvent,41,60
Smalltalk,WatchEvent,49,85
ASP,WatchEvent,112,220
Elm,IssuesEvent,10,34
Rebol,IssuesEvent,3,11
Dylan,WatchEvent,31,62
Prolog,WatchEvent,113,257
Pure Data,WatchEvent,60,142
NetLogo,IssuesEvent,5,52
