repository_language,active_repos_by_url,year,quarter
Slash,42,2013,4
Slash,33,2013,3
Smalltalk,123,2014,3
Smalltalk,170,2014,2
Smalltalk,141,2014,1
Smalltalk,121,2013,4
Smalltalk,137,2013,3
Smalltalk,91,2013,2
Smalltalk,120,2013,1
Smalltalk,105,2012,4
Smalltalk,89,2012,3
Smalltalk,105,2012,2
Smalltalk,24,2012,1
SourcePawn,150,2014,3
SourcePawn,128,2014,2
Squirrel,47,2014,3
Squirrel,83,2014,2
Squirrel,73,2014,1
Squirrel,66,2013,4
Squirrel,9,2013,3
Standard ML,104,2014,3
Standard ML,210,2014,2
Standard ML,226,2014,1
Standard ML,264,2013,4
Standard ML,138,2013,3
Standard ML,132,2013,2
Standard ML,120,2013,1
Standard ML,69,2012,4
Standard ML,49,2012,3
Standard ML,55,2012,2
Standard ML,30,2012,1
Stata,100,2014,3
Stata,77,2014,2
SuperCollider,38,2014,3
SuperCollider,57,2014,2
SuperCollider,65,2014,1
SuperCollider,159,2013,4
SuperCollider,170,2013,3
SuperCollider,146,2013,2
SuperCollider,61,2013,1
SuperCollider,21,2012,4
SuperCollider,50,2012,3
SuperCollider,64,2012,2
SuperCollider,30,2012,1
Swift,3739,2014,3
Swift,1989,2014,2
SystemVerilog,31,2014,3
SystemVerilog,49,2014,2
TXL,1,2014,1
TXL,1,2013,4
TXL,1,2013,1
Tcl,343,2014,3
Tcl,462,2014,2
Tcl,367,2014,1
Tcl,388,2013,4
Tcl,316,2013,3
Tcl,290,2013,2
Tcl,254,2013,1
Tcl,200,2012,4
Tcl,176,2012,3
Tcl,254,2012,2
Tcl,38,2012,1
TeX,6683,2014,3
TeX,10255,2014,2
TeX,9149,2014,1
TeX,3278,2013,4
Turing,5,2014,3
Turing,8,2014,2
Turing,11,2014,1
Turing,5,2013,4
Turing,5,2013,3
Turing,12,2013,2
Turing,11,2013,1
Turing,6,2012,4
Turing,14,2012,3
Turing,14,2012,2
Turing,4,2012,1
TypeScript,1706,2014,3
TypeScript,2827,2014,2
TypeScript,3253,2014,1
TypeScript,1785,2013,4
TypeScript,1320,2013,3
TypeScript,1105,2013,2
TypeScript,278,2013,1
UnrealScript,29,2014,3
UnrealScript,65,2014,2
UnrealScript,91,2014,1
UnrealScript,24,2013,4
VCL,46,2014,3
VCL,14,2014,2
VHDL,254,2014,3
VHDL,599,2014,2
VHDL,750,2014,1
VHDL,401,2013,4
VHDL,257,2013,3
VHDL,318,2013,2
VHDL,192,2013,1
VHDL,197,2012,4
VHDL,129,2012,3
VHDL,128,2012,2
VHDL,65,2012,1
Vala,230,2014,3
Vala,256,2014,2
Vala,232,2014,1
Vala,227,2013,4
Vala,206,2013,3
Vala,162,2013,2
Vala,130,2013,1
Vala,122,2012,4
Vala,138,2012,3
Vala,118,2012,2
Vala,45,2012,1
Verilog,300,2014,3
Verilog,523,2014,2
Verilog,438,2014,1
Verilog,443,2013,4
Verilog,320,2013,3
Verilog,348,2013,2
Verilog,254,2013,1
Verilog,215,2012,4
Verilog,130,2012,3
Verilog,136,2012,2
Verilog,62,2012,1
VimL,15985,2014,3
VimL,20730,2014,2
VimL,19851,2014,1
VimL,18264,2013,4
VimL,17548,2013,3
VimL,15940,2013,2
VimL,15381,2013,1
VimL,14066,2012,4
VimL,13209,2012,3
VimL,11117,2012,2
VimL,4549,2012,1
Visual Basic,1413,2014,3
Visual Basic,1719,2014,2
Visual Basic,1585,2014,1
Visual Basic,1495,2013,4
Visual Basic,1385,2013,3
Visual Basic,1077,2013,2
Visual Basic,808,2013,1
Visual Basic,711,2012,4
Visual Basic,583,2012,3
Visual Basic,459,2012,2
Visual Basic,112,2012,1
Volt,8,2014,3
Volt,7,2014,2
Volt,6,2014,1
Volt,2,2013,4
XC,29,2014,3
XC,73,2014,2
XC,69,2014,1
XC,78,2013,4
XC,27,2013,3
XML,13,2014,3
XML,46,2014,2
XML,62,2014,1
XML,100,2013,4
XML,148,2013,3
XML,1087,2013,2
XML,524,2013,1
XProc,7,2014,3
XProc,12,2014,2
XProc,20,2014,1
XProc,12,2013,4
XProc,7,2013,3
XProc,3,2013,2
XQuery,95,2014,3
XQuery,135,2014,2
XQuery,105,2014,1
XQuery,88,2013,4
XQuery,79,2013,3
XQuery,74,2013,2
XQuery,81,2013,1
XQuery,63,2012,4
XQuery,55,2012,3
XQuery,55,2012,2
XQuery,23,2012,1
XSLT,1355,2014,3
XSLT,1794,2014,2
XSLT,1583,2014,1
XSLT,1384,2013,4
XSLT,1316,2013,3
XSLT,443,2013,2
Xojo,19,2014,3
Xtend,66,2014,3
Xtend,88,2014,2
Xtend,71,2014,1
Xtend,58,2013,4
Xtend,37,2013,3
Xtend,37,2013,2
Xtend,14,2013,1
Zephir,12,2014,3
Zephir,7,2014,2
Zimpl,2,2014,3
eC,1,2014,3
eC,3,2014,2
eC,5,2014,1
eC,2,2013,4
eC,5,2013,3
eC,4,2013,2
eC,5,2013,1
eC,2,2012,4
eC,3,2012,3
nesC,147,2014,3
nesC,276,2014,2
nesC,236,2014,1
nesC,82,2013,4
ooc,20,2014,3
ooc,4,2014,2
ooc,32,2014,1
ooc,29,2013,4
ooc,20,2013,3
ooc,27,2013,2
ooc,35,2013,1
ooc,34,2012,4
ooc,8,2012,3
ooc,33,2012,2
wisp,5,2014,3
wisp,8,2014,2
wisp,6,2014,1
wisp,3,2013,4
wisp,4,2013,3
wisp,1,2013,2
xBase,43,2014,3
xBase,42,2014,2
xBase,38,2014,1
xBase,17,2013,4
