repository_language,type,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
Erlang,PullRequestEvent,373,3659,134846221,387381,70221,1304029
ActionScript,PullRequestEvent,153,1294,55592662,77261,35459,477694
FORTRAN,IssueCommentEvent,52,862,39208544,28510,20203,79842
TeX,ForkEvent,741,2131,65067587,63140,9036,172250
F#,PullRequestEvent,87,1464,42854596,57937,29068,151410
LiveScript,CreateEvent,130,349,8617820,948,1133,4861
LiveScript,PushEvent,227,3455,44366787,41240,23593,82644
Vala,IssueCommentEvent,39,925,3575532,26212,22533,387312
TypeScript,DeleteEvent,214,3823,309666057,21557,10240,38573
CSS,PullRequestReviewCommentEvent,596,7472,127365987,5161816,153324,13167504
Objective-C,CommitCommentEvent,655,2791,56698040,194003,41507,994840
Puppet,IssueCommentEvent,488,5792,31693630,148700,28228,121264
Haxe,ForkEvent,178,552,11679349,17790,10923,64142
XQuery,PushEvent,81,1064,5001303,1530,2338,3872
OCaml,IssueCommentEvent,220,4499,87811882,134340,94700,369665
Erlang,IssuesEvent,292,1924,11476020,112656,27700,404986
F#,CreateEvent,293,1034,39520240,18121,4048,43031
Scheme,IssueCommentEvent,105,637,4940404,4662,2914,19731
Shell,GollumEvent,1288,7689,229339786,249895,93884,1355930
C#,TeamAddEvent,288,336,4776731,3097,629,5078
OCaml,CreateEvent,572,2218,22413433,7465,6893,24240
PHP,PublicEvent,1766,2009,30909666,20,1437,325
Groovy,GollumEvent,187,1550,6783623,13285,7757,27304
Objective-J,PushEvent,51,1111,55281172,10138,7873,55817
OCaml,PullRequestEvent,207,2208,30582167,51373,27725,109063
ActionScript,IssuesEvent,227,1947,139792688,161491,45659,567346
TeX,PullRequestReviewCommentEvent,37,683,29537611,17961,11354,40985
FORTRAN,PushEvent,892,8741,429113248,13024,12522,17912
ColdFusion,WatchEvent,156,390,8377223,6851,5914,16880
Shell,CommitCommentEvent,806,4473,619379734,294492,69510,678468
nesC,PushEvent,157,4014,638106063,30571,19014,30755
Matlab,CreateEvent,1450,2526,55173039,1045,1430,1997
TeX,PullRequestEvent,480,4307,135195798,59510,20599,120502
Puppet,DeleteEvent,382,1340,15132203,4038,1358,4719
Matlab,PullRequestReviewCommentEvent,9,71,6406516,920,809,735
Dart,MemberEvent,55,85,1384879,56,51,172
ColdFusion,IssuesEvent,65,674,14913489,22137,61516,47236
Scheme,CreateEvent,440,840,2457961,841,801,6408
ActionScript,IssueCommentEvent,192,3495,255724278,442346,112795,1738496
M,CommitCommentEvent,6,22,223813,0,4,0
ColdFusion,ForkEvent,155,330,8165363,7597,10315,15505
AppleScript,WatchEvent,124,561,3241234,4110,422,24013
BlitzBasic,IssueCommentEvent,20,220,1074029,2245,2486,3657
Rust,PullRequestEvent,109,3507,554083889,1947264,3010791,9303282
FORTRAN,WatchEvent,160,353,9416110,4791,2804,15636
Augeas,CreateEvent,4,22,134617,54,9,94
Kotlin,PushEvent,75,869,3950487,1189,753,5044
FORTRAN,PullRequestEvent,68,542,27325152,7060,4535,6328
Ruby,PublicEvent,2517,2926,18438443,11,2263,592
Lasso,IssueCommentEvent,11,1125,33795069,1242808,149459,897315
VHDL,CreateEvent,271,655,6995410,68,381,88
COBOL,PushEvent,27,416,15470921,173,31,280
Apex,IssueCommentEvent,24,470,3202427,3659,34991,4995
ColdFusion,PullRequestEvent,54,518,22712301,21875,72053,41804
ColdFusion,IssueCommentEvent,66,956,33810409,43754,116202,88397
OCaml,IssuesEvent,212,1678,21262320,29342,21436,104213
AutoHotkey,CreateEvent,120,227,300861,48,115,162
Emacs Lisp,DeleteEvent,299,1467,18201586,19793,3671,82442
R,GollumEvent,347,2013,60547553,7295,5848,29717
D,GollumEvent,81,635,4389645,573,2470,2542
Scheme,WatchEvent,385,1264,7403056,17246,5523,89720
XQuery,IssuesEvent,19,164,1900389,1113,1430,2362
Matlab,GollumEvent,207,895,38214595,1237,2675,2078
Ceylon,PushEvent,22,345,1046194,3014,5574,4800
Verilog,WatchEvent,150,355,6523765,4435,556,10024
Verilog,ForkEvent,117,229,10494633,3323,358,5720
Go,MemberEvent,228,332,524417,1118,471,9758
XQuery,WatchEvent,45,85,719241,416,618,997
Apex,IssuesEvent,27,560,4423334,2853,51225,2874
Arduino,PullRequestReviewCommentEvent,9,83,57591,1681,345,4400
Processing,GollumEvent,70,570,12196582,362,144,1054
Erlang,ForkEvent,836,2377,32835907,196960,21603,645795
DM,CreateEvent,59,1353,467557799,4926,3372,1675
Dart,PullRequestReviewCommentEvent,39,2322,25825876,235909,198943,1714716
Groovy,PullRequestEvent,423,2907,29010748,59762,19590,204885
TeX,DeleteEvent,345,1259,51226072,2771,7374,6766
D,WatchEvent,428,1796,17594805,36189,8422,112602
Julia,CommitCommentEvent,54,1170,67416610,407556,392687,2113379
ColdFusion,CreateEvent,123,481,33902184,8145,22516,15477
Eiffel,CommitCommentEvent,2,20,1031638,3,0,0
ASP,CreateEvent,520,759,7296682,653,149,759
Gosu,PushEvent,108,749,200025,298,294,516
Brightscript,WatchEvent,8,66,546773,869,1221,2381
Racket,ForkEvent,102,213,4603311,6885,1591,20630
M,MemberEvent,18,27,271163,0,0,0
PowerShell,IssuesEvent,143,918,6294418,24355,12388,115746
VHDL,WatchEvent,84,200,5122328,5542,1105,10921
XSLT,IssuesEvent,183,2250,59131203,32329,44580,111693
XSLT,IssueCommentEvent,178,3428,83893064,84783,105487,262996
PowerShell,DeleteEvent,65,206,2230897,303,148,1026
Kotlin,CommitCommentEvent,3,11,137916,22,2,84
Go,ReleaseEvent,230,637,2253006,4886,1718,51079
M,GollumEvent,13,14,393392,15,1,188
Lua,PullRequestReviewCommentEvent,43,286,6139015,10097,3895,25555
Nemerle,PushEvent,59,514,21385505,2676,4811,6465
Rust,ForkEvent,187,734,67050811,238205,370517,1137302
Go,GollumEvent,341,1845,9380507,38852,18166,469512
Haskell,PublicEvent,79,82,232393,1,26,21
Logos,ForkEvent,126,303,3322802,4890,245,3625
Clojure,DeleteEvent,344,1176,4099108,7327,2463,68750
Max,IssuesEvent,16,461,20911631,1674,100667,4858
Erlang,CommitCommentEvent,98,863,16729810,12320,7911,49319
ActionScript,MemberEvent,111,147,1735765,256,84,826
F#,ForkEvent,155,521,13597087,15460,5806,45652
Objective-J,IssueCommentEvent,11,606,34077778,105684,39156,645920
Scala,TeamAddEvent,158,215,5647253,615,368,2950
Max,CreateEvent,82,128,2151960,44,2076,164
VimL,GollumEvent,169,773,7381077,36485,2265,250728
Dylan,CreateEvent,17,104,4461928,399,618,1849
PowerShell,CreateEvent,464,927,4572571,1781,1369,9358
TeX,CommitCommentEvent,201,800,13518842,4988,2390,24675
Puppet,CommitCommentEvent,101,351,888757,2736,1227,2149
BlitzBasic,WatchEvent,42,119,2292420,2609,469,2641
Bluespec,PushEvent,4,617,8467523,609,1218,1222
Awk,CreateEvent,43,73,466153,0,0,7
Idris,PushEvent,40,314,54745,114,8,1469
UnrealScript,PushEvent,80,1316,85745737,355,431,323
Perl,MemberEvent,259,353,2217120,619,428,1877
Scheme,PullRequestEvent,126,680,1905936,4180,1540,7901
Go,CommitCommentEvent,343,2004,14768437,72727,26090,524057
Arduino,GollumEvent,198,811,13619834,2269,717,5961
OpenEdge ABL,TeamAddEvent,3,5,104836,4,0,12
CoffeeScript,PublicEvent,328,340,918244,1,213,53
Max,IssueCommentEvent,10,346,9671713,1053,61459,2971
Clojure,PullRequestReviewCommentEvent,79,889,2765727,35337,15217,248520
Racket,IssuesEvent,63,331,4775679,3861,3863,18356
Scala,PublicEvent,156,178,1073980,2,119,28
Pascal,DeleteEvent,34,75,736045,115,62,276
Tcl,WatchEvent,84,191,2089331,1149,1055,6612
PowerShell,ForkEvent,228,720,8270470,27248,10788,118744
C++,PublicEvent,979,1041,21758339,12,506,137
Matlab,DeleteEvent,130,562,27091086,499,704,916
F#,DeleteEvent,64,362,6466018,1763,1687,5299
D,ForkEvent,271,835,12959916,28427,5117,58867
Nimrod,CreateEvent,37,127,23518641,90,275,589
Apex,ForkEvent,117,250,434612,5476,2326,5860
LiveScript,PullRequestEvent,33,284,22833787,29614,7978,51886
Perl,ReleaseEvent,184,393,5771923,950,1882,3311
Rust,WatchEvent,334,2879,225547731,789792,1201554,3809317
Arduino,IssuesEvent,171,636,3644069,6241,1885,15765
Shell,PublicEvent,369,423,3693126,5,171,41
Apex,PushEvent,251,2255,9461772,3964,98849,3546
R,DeleteEvent,272,865,10331871,3142,2727,14251
Apex,PullRequestEvent,34,310,2296365,988,26852,772
Vala,WatchEvent,85,692,2318672,46106,30097,1052526
Haxe,PullRequestEvent,88,981,23194661,48328,40343,176163
ActionScript,DeleteEvent,98,614,30977472,2942,1898,12004
Smalltalk,ForkEvent,32,44,322628,289,296,827
Dart,IssuesEvent,222,2752,23223343,163830,140961,1185624
Visual Basic,ForkEvent,239,414,6558523,5837,2009,56624
Erlang,PublicEvent,92,93,111696,1,40,6
Julia,IssuesEvent,242,3191,123409824,788185,783865,4045866
Racket,PullRequestEvent,50,326,24063462,23661,5787,81883
Racket,DeleteEvent,29,95,5114240,150,252,1372
Pascal,CreateEvent,422,661,3083251,401,203,819
AutoIt,PushEvent,136,1216,3425463,876,345,880
Xtend,PushEvent,60,809,13538377,1381,13923,6423
Haxe,CommitCommentEvent,31,549,17668796,38292,33569,143147
Verilog,IssueCommentEvent,20,153,828311,1060,560,1563
Shell,PullRequestReviewCommentEvent,296,3592,108230468,403637,89615,1097349
Smalltalk,CreateEvent,38,478,15086359,286,495,5214
Smalltalk,PullRequestEvent,13,204,6372689,1509,2572,824
VHDL,ForkEvent,84,151,2904778,2772,540,5081
AutoHotkey,ForkEvent,71,129,308077,874,334,2430
Standard ML,CreateEvent,71,135,1679063,107,60,539
Verilog,GollumEvent,36,161,751276,92,119,311
AutoIt,IssueCommentEvent,15,97,296347,295,368,326
AutoHotkey,MemberEvent,6,6,6446,9,3,12
Slash,CreateEvent,23,126,38213871,242,225,244
Slash,PushEvent,49,588,20557625,3321,1633,3436
Clojure,ReleaseEvent,80,269,573757,897,373,12792
Nimrod,PushEvent,70,800,136332392,15936,51901,100422
M,WatchEvent,34,193,3138051,3016,476,22495
Clean,PushEvent,9,171,8035380,516,0,4325
Visual Basic,GollumEvent,116,398,1564930,826,882,20892
Shell,MemberEvent,829,1347,9414534,1175,820,5703
nesC,IssuesEvent,26,426,108160197,4628,10056,5810
wisp,PushEvent,5,89,41432,39,363,48
DOT,WatchEvent,42,208,10294329,3131,1970,16528
TypeScript,PullRequestReviewCommentEvent,31,1318,170982711,970487,142632,1513006
Assembly,IssuesEvent,86,642,62440582,15662,5810,84833
Emacs Lisp,CommitCommentEvent,119,669,2051014,22261,3227,61133
Common Lisp,PullRequestEvent,130,687,2638691,11929,4431,61875
Perl,GollumEvent,432,2617,41678858,19650,18419,72474
Logos,IssuesEvent,33,93,1290811,1346,274,1023
Crystal,PushEvent,6,266,3633215,5163,2131,104078
Eiffel,CreateEvent,30,119,4171989,81,261,101
Shell,TeamAddEvent,448,619,8314147,1076,502,6909
Eiffel,DeleteEvent,6,86,4878488,110,307,132
Eiffel,PullRequestEvent,13,200,7778178,3511,1310,3038
Eiffel,IssuesEvent,4,128,7475841,3608,670,3129
KRL,PushEvent,40,6169,4129595,2611,0,1953
BlitzBasic,CreateEvent,86,636,7873016,2297,182,1353
Awk,WatchEvent,30,198,224767,2511,829,25539
TypeScript,GollumEvent,145,668,16689529,12911,18899,38430
Tcl,IssuesEvent,32,174,816940,293,607,958
XSLT,CreateEvent,471,1585,17337090,4201,4100,11712
Verilog,CreateEvent,178,332,2562269,135,169,320
C#,PublicEvent,628,649,14189023,22,251,107
Perl,PullRequestReviewCommentEvent,110,1440,79361711,118629,23352,119747
Groovy,DeleteEvent,229,1054,11101353,2003,2057,3743
Common Lisp,IssuesEvent,171,858,5854192,10709,7463,63039
Eiffel,IssueCommentEvent,6,275,16020413,7998,2101,7021
LiveScript,WatchEvent,96,802,14646770,23679,13775,285509
Agda,PushEvent,83,926,1506534,976,164,5279
Vala,ForkEvent,58,181,703461,5864,4258,98937
Pascal,WatchEvent,157,526,16666627,11334,3276,32575
Brightscript,IssuesEvent,8,227,3259214,2362,3466,6321
Pascal,ForkEvent,112,284,15284846,5818,1327,12627
VimL,PullRequestReviewCommentEvent,39,287,355348,37656,4094,160059
Erlang,TeamAddEvent,134,165,782023,254,129,902
VimL,MemberEvent,46,66,128367,1065,312,10474
Brightscript,PushEvent,22,621,7942469,1959,11730,6123
C,TeamAddEvent,521,740,76602561,6565,4274,19363
Tcl,CreateEvent,121,345,1188236,136,192,296
IDL,IssuesEvent,30,525,126257113,35786,63760,184739
Racket,CommitCommentEvent,23,386,16906088,4095,6068,36172
Puppet,TeamAddEvent,83,115,437431,70,46,66
AutoIt,CommitCommentEvent,4,39,112549,93,80,95
XQuery,ForkEvent,33,53,339392,341,594,538
LiveScript,IssueCommentEvent,56,1012,47835751,126185,33848,327020
LiveScript,IssuesEvent,68,725,14989212,40402,15830,124674
XSLT,PullRequestEvent,162,1165,25465709,23852,12734,61509
Elm,IssueCommentEvent,12,74,384026,2845,598,3750
Elm,PushEvent,75,776,1245203,5518,1251,7580
Elm,PullRequestEvent,8,34,189553,1434,336,1941
OCaml,CommitCommentEvent,70,536,12336167,2338,4710,8492
Elm,WatchEvent,32,85,200290,1395,290,2142
Elm,CreateEvent,47,143,42611,182,44,295
nesC,PullRequestEvent,25,848,60392758,29610,3562,16882
Haxe,IssuesEvent,131,2086,73252759,97878,111828,397585
R,ReleaseEvent,118,272,2404328,909,1064,4264
XProc,PushEvent,15,198,1474285,130,80,383
D,PullRequestReviewCommentEvent,21,1301,36578527,263366,35670,437767
Logos,WatchEvent,173,478,2164744,2781,375,4884
Assembly,DeleteEvent,49,182,6408229,60,94,230
Scheme,TeamAddEvent,9,9,45316,17,3,118
Go,TeamAddEvent,202,266,401804,1046,308,9162
Perl,TeamAddEvent,124,152,1165381,215,406,362
R,TeamAddEvent,49,56,643410,54,81,142
AutoHotkey,PullRequestEvent,20,104,246441,472,240,977
Clojure,PublicEvent,95,98,128202,0,39,20
R,MemberEvent,287,515,2369451,212,310,276
XSLT,GollumEvent,61,446,11264726,3981,5048,27276
Pure Data,PushEvent,119,767,5005097,845,126,1801
HaXe,WatchEvent,96,205,522346,1160,510,5440
BlitzBasic,PullRequestEvent,20,142,4222276,1643,905,1675
Lua,ReleaseEvent,179,443,3749932,1162,820,5047
BlitzBasic,IssuesEvent,13,94,625622,661,563,883
FORTRAN,GollumEvent,60,366,22116879,1121,2320,1162
Groovy,CommitCommentEvent,102,526,7327246,2132,1375,4754
AppleScript,ForkEvent,72,140,753358,1421,88,5296
IDL,IssueCommentEvent,20,1077,283330124,107538,226733,558125
XSLT,TeamAddEvent,39,47,899909,140,175,118
Racket,IssueCommentEvent,60,639,51643006,49111,12812,176674
AutoHotkey,CommitCommentEvent,9,22,82961,79,44,301
AutoHotkey,IssueCommentEvent,35,170,436326,643,677,2173
LiveScript,DeleteEvent,27,104,8924012,754,1104,2854
Dart,CommitCommentEvent,47,677,8130954,22722,13504,140073
Common Lisp,GollumEvent,41,283,1073205,4918,1084,37289
Eiffel,WatchEvent,33,77,3433378,853,415,756
Brightscript,ForkEvent,6,27,209452,438,575,1107
VHDL,MemberEvent,46,61,197551,23,47,19
D,DeleteEvent,95,698,9697692,3628,2682,7288
Objective-J,PullRequestReviewCommentEvent,2,29,1750158,7891,3788,48457
CoffeeScript,ReleaseEvent,232,654,1141422,5737,1267,60093
NetLogo,PushEvent,55,489,4558448,262,1569,790
Glyph,PushEvent,9,67,23974431,36,0,81
Standard ML,IssuesEvent,15,114,3381207,934,1186,3317
Arduino,MemberEvent,185,293,947124,142,39,119
Elixir,DeleteEvent,57,222,1226345,4210,763,29809
Visual Basic,MemberEvent,83,200,180756,11,56,24
ColdFusion,DeleteEvent,28,295,32660463,5435,11792,9809
Erlang,GollumEvent,96,446,22446436,10622,2751,33277
Verilog,IssuesEvent,19,142,1195222,621,569,1320
Erlang,PullRequestReviewCommentEvent,69,1056,22507473,57178,34697,203144
OCaml,GollumEvent,48,284,5201374,5842,4642,32570
Scilab,PullRequestEvent,3,36,4282,8,130,0
DOT,ForkEvent,46,99,4664945,1531,269,4224
Gosu,WatchEvent,53,176,96292,1802,221,3688
D,IssuesEvent,155,1808,18878622,23607,18200,88591
Common Lisp,CommitCommentEvent,32,174,771593,986,1137,6076
Visual Basic,IssuesEvent,128,789,14465130,5264,5515,100366
Rust,DeleteEvent,73,1167,85459218,8293,10871,37479
REALbasic,PushEvent,16,173,2017660,200,20,339
CoffeeScript,TeamAddEvent,188,254,272815,598,485,5327
nesC,CreateEvent,67,605,63559912,2133,4761,2133
xBase,PullRequestEvent,1,174,113900329,604,1542,430
Oxygene,PushEvent,16,59,391592,52,29,88
Kotlin,IssueCommentEvent,8,75,512526,342,516,3009
nesC,ForkEvent,51,149,26079184,5659,2824,7053
DM,DeleteEvent,27,799,292787520,4517,3720,1473
Julia,ForkEvent,209,766,20632610,131877,127370,645690
NetLogo,PullRequestEvent,5,52,213730,72,720,257
Max,WatchEvent,45,125,6557114,418,1045,1645
XSLT,DeleteEvent,114,470,6505673,1616,2053,4926
Visual Basic,CreateEvent,948,1389,23950233,612,643,5028
Scheme,DeleteEvent,68,201,699208,371,361,1669
Scala,MemberEvent,243,382,3757925,346,314,1390
Vala,IssuesEvent,44,612,2048055,12659,10727,178561
XC,PushEvent,53,552,7974842,539,63,490
Agda,IssuesEvent,4,27,104006,122,50,786
CoffeeScript,GollumEvent,313,1677,10939180,152326,40282,873886
Scheme,GollumEvent,38,487,4597703,1086,317,11736
AutoIt,WatchEvent,23,79,3468273,705,267,1532
Haxe,CreateEvent,265,772,8209615,6922,4287,23160
Dart,TeamAddEvent,29,30,104376,613,277,2355
Clean,CreateEvent,8,11,785772,13,0,103
Ecl,PushEvent,5,85,445717,171,0,244
FORTRAN,IssuesEvent,58,379,26014991,5750,4735,14415
Apex,DeleteEvent,9,73,721620,253,7719,193
FORTRAN,CreateEvent,507,1187,18924268,1117,935,1221
Vala,DeleteEvent,25,135,941673,153,136,967
Brightscript,IssueCommentEvent,7,305,4438621,2235,4337,6536
Groovy,PullRequestReviewCommentEvent,45,1103,65074958,35272,27702,47177
Groovy,ReleaseEvent,86,222,2231692,1299,727,4597
Matlab,ReleaseEvent,57,107,7872483,61,90,139
Logos,CreateEvent,157,269,1072400,956,73,735
Factor,IssuesEvent,1,50,4913733,3693,11759,14656
XQuery,IssueCommentEvent,20,142,938616,877,1327,1757
IDL,CreateEvent,238,411,16755275,5889,8963,27142
Lua,MemberEvent,241,359,3517815,604,315,1560
Objective-J,IssuesEvent,11,309,12171871,17143,8282,103267
D,ReleaseEvent,31,120,2261228,133,198,864
DOT,CreateEvent,83,177,2896456,118,181,159
Arduino,DeleteEvent,98,210,367214,1990,226,4127
ActionScript,ReleaseEvent,54,137,2225722,1334,396,3474
VHDL,IssueCommentEvent,52,259,4557658,2661,2198,5322
Assembly,PullRequestReviewCommentEvent,5,50,619977,3392,1184,21022
Elixir,IssuesEvent,74,699,6747891,56739,7175,404469
Perl6,PushEvent,47,700,11094815,66084,4637,221615
Nimrod,GollumEvent,2,124,39976441,8554,28212,54175
XSLT,MemberEvent,47,71,876442,179,24,176
VHDL,IssuesEvent,84,399,5190207,1192,1779,2405
FORTRAN,CommitCommentEvent,20,156,50109479,706,1255,1162
Matlab,MemberEvent,211,298,5670098,89,20,188
DOT,IssuesEvent,18,140,2367430,678,669,3560
CoffeeScript,MemberEvent,293,456,737907,584,495,2557
Verilog,DeleteEvent,24,74,818380,98,185,231
Verilog,PullRequestEvent,19,100,631178,699,135,768
Lasso,PullRequestReviewCommentEvent,3,1238,38097273,1425668,169539,1029864
DOT,DeleteEvent,15,52,1541412,26,73,79
Kotlin,WatchEvent,28,148,1632635,823,678,4641
Processing,PublicEvent,20,20,20276,0,1,0
Processing,ForkEvent,246,715,10447000,25938,3362,75105
Common Lisp,CreateEvent,471,945,5273140,1786,1678,9555
Agda,IssueCommentEvent,3,54,163205,389,98,2293
Pascal,CommitCommentEvent,24,53,287728,69,8,125
Processing,MemberEvent,87,124,785637,17,7,8
Arduino,TeamAddEvent,24,26,33432,22,5,17
Prolog,WatchEvent,112,257,2945777,1883,161,10598
PowerShell,CommitCommentEvent,22,82,676930,2728,1837,14373
R,CommitCommentEvent,138,676,8521350,12522,7411,49989
ActionScript,TeamAddEvent,22,24,1152835,35,3,104
Processing,PullRequestEvent,65,269,1701289,6719,1101,28138
Nimrod,PullRequestEvent,13,228,62186648,13424,44044,84401
CLIPS,CreateEvent,15,23,4303,0,0,3
CLIPS,PushEvent,32,232,124738,33,2,205
Idris,CreateEvent,17,20,2049,1,1,35
Puppet,ReleaseEvent,110,228,383310,979,174,1503
Smalltalk,DeleteEvent,5,175,3747448,4,0,6
Objective-J,GollumEvent,4,23,398815,443,499,2810
Assembly,CommitCommentEvent,22,113,568310,483,161,2454
Common Lisp,DeleteEvent,51,162,752432,375,688,2737
Lua,TeamAddEvent,40,52,483457,68,43,597
Nimrod,WatchEvent,39,295,50648184,11744,37076,74282
nesC,ReleaseEvent,6,11,4325792,81,151,152
Boo,CreateEvent,7,17,13645,0,16,4
Boo,ReleaseEvent,1,4,1776,0,16,4
Slash,ForkEvent,12,46,1125559,1823,85,1120
Clojure,MemberEvent,143,189,113090,1526,290,9212
SuperCollider,PushEvent,64,639,3133572,150,301,654
Julia,TeamAddEvent,6,12,44880,558,59,130
Lasso,WatchEvent,12,61,3544314,31618,3738,22649
AutoHotkey,WatchEvent,116,336,1027263,1757,1332,8626
Processing,DeleteEvent,41,89,330820,250,33,1349
nesC,GollumEvent,18,750,30882374,1617,11556,505
Arc,PushEvent,17,207,6948674,3164,166,17135
Haskell,CommitCommentEvent,203,1197,13809135,12832,12853,57916
VHDL,DeleteEvent,32,104,4248023,84,94,125
MoonScript,IssuesEvent,5,33,127348,64,49,535
OpenEdge ABL,ForkEvent,43,80,12817429,1296,102,903
AutoHotkey,ReleaseEvent,21,52,50677,9,5,60
Ada,CreateEvent,50,93,521338,24,41,19
Haxe,DeleteEvent,51,271,4808179,4557,3589,15587
Idris,IssueCommentEvent,8,19,3002,21,10,167
Smalltalk,WatchEvent,46,85,1103817,364,215,1385
DM,CommitCommentEvent,19,226,66819666,13528,9147,4432
Brightscript,CreateEvent,9,66,1156488,265,1722,852
Dylan,IssueCommentEvent,6,114,8230682,2585,3842,11529
Elm,ForkEvent,24,50,181019,1340,310,1844
Coq,CommitCommentEvent,7,101,162611,166,34,489
Logos,IssueCommentEvent,35,166,1582507,5126,505,3304
Agda,WatchEvent,30,114,276672,363,115,2183
ActionScript,CommitCommentEvent,40,227,17445037,38784,3705,88088
Lasso,DeleteEvent,7,149,2405153,20611,2457,14888
Visual Basic,PullRequestEvent,85,423,10795395,2521,659,8278
Matlab,PublicEvent,90,92,2559976,0,2,5
XC,DeleteEvent,3,17,80603,5,0,24
XC,CreateEvent,32,65,563558,59,3,78
XC,ReleaseEvent,6,22,150601,3,0,24
OCaml,MemberEvent,32,47,1343250,27,25,67
Apex,WatchEvent,94,243,371326,3689,1029,5510
Dart,GollumEvent,57,395,2495601,4892,2630,18814
Xtend,CreateEvent,24,38,95738,44,32,231
Xtend,PullRequestEvent,11,39,919825,128,922,474
Xtend,IssueCommentEvent,11,255,9178380,992,9988,4059
nesC,WatchEvent,48,172,21703919,8263,4733,11579
Xtend,DeleteEvent,4,5,120088,0,3,2
AutoIt,CreateEvent,64,126,95031,51,29,24
XProc,CreateEvent,9,39,281797,32,53,104
TeX,ReleaseEvent,126,238,3463643,425,590,2347
XProc,DeleteEvent,5,24,254956,19,29,69
Vala,ReleaseEvent,5,16,55702,37,170,155
Parrot,PushEvent,8,212,17406184,5456,4328,14071
Rust,GollumEvent,21,436,78520296,274715,449277,1322804
Elixir,CommitCommentEvent,18,111,1868575,10085,926,73257
FORTRAN,DeleteEvent,62,262,12066972,603,615,521
Volt,PushEvent,5,63,140866,1,0,122
Max,ForkEvent,34,59,3297414,259,560,537
OCaml,DeleteEvent,120,784,16990783,4077,4291,12495
ActionScript,GollumEvent,116,277,7640976,3865,4092,32900
Lasso,ForkEvent,13,270,8552864,209879,24492,149696
AutoIt,ForkEvent,27,94,2681832,711,166,1071
Vala,GollumEvent,16,136,557494,592,1825,2422
Ada,WatchEvent,45,66,733613,155,39,676
Arduino,ReleaseEvent,29,52,672056,842,45,2060
HaXe,IssuesEvent,20,58,161392,270,98,1985
HaXe,IssueCommentEvent,13,54,124462,279,82,1784
Ceylon,IssueCommentEvent,8,247,1268574,5040,8458,7603
Ceylon,IssuesEvent,8,92,319136,1335,2370,2095
Dylan,ForkEvent,34,44,715556,270,104,888
ANTLR,PushEvent,41,227,1242179,29,58,127
Tcl,IssueCommentEvent,24,135,747264,896,630,4395
Elixir,PullRequestReviewCommentEvent,13,241,3675952,31221,2508,226109
Coq,IssueCommentEvent,9,287,2286143,7041,4056,25804
Oxygene,GollumEvent,1,149,15162836,1034,0,1043
BlitzBasic,DeleteEvent,23,139,10176298,614,13,348
F#,GollumEvent,38,119,3804508,164,95,1128
XC,PullRequestEvent,9,67,84632,520,59,450
xBase,IssuesEvent,2,217,126051611,660,1986,493
OpenEdge ABL,DeleteEvent,9,16,429612,12,24,24
OpenEdge ABL,CreateEvent,61,115,1184318,76,183,136
xBase,CreateEvent,16,202,44998378,69,0,252
XC,IssueCommentEvent,5,20,12681,155,21,110
R,PullRequestReviewCommentEvent,37,483,4324944,25889,7618,118331
Xtend,WatchEvent,29,69,362287,185,301,820
Squirrel,ForkEvent,20,36,55022,166,18,290
Augeas,IssuesEvent,1,32,308695,1811,220,2977
SuperCollider,ForkEvent,24,33,124009,86,70,328
Prolog,ForkEvent,73,133,1230091,984,84,2661
xBase,IssueCommentEvent,2,128,71893817,395,1866,305
Tcl,DeleteEvent,18,67,208814,74,82,97
Dylan,PullRequestEvent,16,215,9211147,3147,4240,13165
Apex,CreateEvent,140,400,1368834,479,11852,591
Oxygene,IssueCommentEvent,4,13,42092,682,61,1996
Prolog,PushEvent,95,385,4523739,175,101,1082
Turing,PushEvent,8,119,1071975,4,0,16
Pure Data,DeleteEvent,5,9,7380,85,3,145
Lasso,IssuesEvent,10,139,3501668,118863,14328,85398
Objective-J,WatchEvent,58,181,5092320,19037,8777,118362
Mirah,WatchEvent,24,81,2177726,2517,2517,28901
XQuery,PullRequestEvent,15,125,920602,516,359,354
Perl,PublicEvent,125,133,1860114,0,53,25
BlitzBasic,ForkEvent,39,148,4348648,2949,385,2533
Io,PushEvent,35,315,26935271,8416,9406,71120
Idris,PublicEvent,3,3,328,0,0,0
Tcl,GollumEvent,18,164,502224,692,52,843
Emacs Lisp,GollumEvent,95,488,8293753,4864,7760,23425
Puppet,GollumEvent,84,292,3346451,419,1691,955
Xtend,IssuesEvent,13,207,6830074,664,6190,2844
Visual Basic,DeleteEvent,72,177,20979189,226,224,434
Visual Basic,WatchEvent,283,881,8991082,27137,17552,617970
Pike,PushEvent,11,374,1064781,757,330,1432
PogoScript,PushEvent,10,47,6285,25,15,39
Pascal,IssueCommentEvent,60,471,24729850,7460,3260,17833
Emacs Lisp,ReleaseEvent,20,110,7465142,335,561,3026
Processing,IssueCommentEvent,48,228,5572738,9541,1490,41585
Nemerle,CreateEvent,23,51,350547,177,111,189
Nemerle,PullRequestEvent,8,30,151229,324,195,437
Io,WatchEvent,47,687,88722310,36947,42529,334224
Ceylon,CommitCommentEvent,2,27,130163,505,1052,752
OpenEdge ABL,MemberEvent,7,12,159017,8,1,3
Nemerle,IssueCommentEvent,8,48,2947638,1497,648,3984
