repository_language,type,active_repos,lang_usage,sum_rep_size,sum_rep_forks,sum_rep_openissues,sum_rep_watchers
PowerShell,PullRequestEvent,93,719,4525855,24282,6507,91061
Scala,PushEvent,6128,83361,1534162487,1470879,406863,6571620
Python,WatchEvent,33946,221727,3009009368,31673314,6613508,153132635
Objective-C,WatchEvent,13914,209715,1561397364,23682784,2829249,145907012
C,IssuesEvent,5318,52917,4186187633,4890563,2803198,17441692
DM,PushEvent,81,7082,2451686149,384606,219277,126847
Lua,IssueCommentEvent,550,11186,340723718,623934,163813,1026934
D,PushEvent,1193,14434,195410741,107649,45968,255525
Scala,WatchEvent,2629,22648,558645374,2724232,540559,14996349
CSS,MemberEvent,3968,6871,26467866,9802,2521,38164
Ruby,IssueCommentEvent,11600,235189,17865788279,179636833,14571876,506183480
Arduino,PushEvent,2908,17278,53693811,24280,3558,49298
PHP,DeleteEvent,7977,41447,2086945417,1028532,776825,2822418
Java,IssueCommentEvent,11620,244406,46568338993,30000364,16257944,76310646
PHP,ForkEvent,23059,74147,1382246189,17578972,2218339,43237385
Groovy,PushEvent,2806,30106,457373986,68978,55290,185665
CSS,GollumEvent,3505,14677,314399823,253589,61657,1111506
Vala,PushEvent,165,4143,23770737,9253,14740,55206
Python,IssueCommentEvent,12831,297590,13953801083,56390970,32421608,180137692
Java,CreateEvent,66228,195193,41768563763,1645463,551571,4026010
C,GollumEvent,2711,16632,1234546020,1426956,527220,4621004
Java,MemberEvent,10417,18657,128349790,10429,6921,18667
Go,PushEvent,8113,105504,370819042,1547226,540412,11822395
Elixir,ForkEvent,140,474,2625128,25447,3432,171974
Haskell,PushEvent,4730,55099,287958355,286096,168726,1359162
CSS,IssuesEvent,6710,63305,1248031715,36910701,1932270,124875451
CSS,IssueCommentEvent,5581,88172,2123568445,109701859,4473958,360978110
TypeScript,PushEvent,2033,33766,2040387575,1451596,380210,2480282
C,ForkEvent,13873,56205,8954688514,15057878,1703551,39016761
Java,PullRequestEvent,10791,129924,39610779984,10169575,2736390,21599282
Vala,CreateEvent,88,462,2464680,596,699,2934
Dart,CreateEvent,649,2362,17627627,26049,23883,207230
JavaScript,GollumEvent,9424,51215,1429869257,5246768,1210100,26929355
CoffeeScript,PushEvent,8012,88830,432742941,1258266,411795,6371987
Python,PullRequestReviewCommentEvent,1945,55423,7784695079,11487285,5353351,29101236
Erlang,PushEvent,1863,23158,650457574,310550,94491,1087192
D,CreateEvent,549,1808,18331501,7649,3948,17096
Rust,CreateEvent,335,2406,143585319,9728,12608,43452
Objective-C,GollumEvent,1362,4624,75982412,180712,54729,1034400
CoffeeScript,IssueCommentEvent,1580,27527,215622692,3334731,806310,20984668
IDL,PushEvent,505,6526,314501257,47055,67145,230653
VimL,WatchEvent,2237,26314,81148004,5629880,570990,31369546
Clojure,WatchEvent,2387,24711,117816189,1809067,1449731,21588728
Scala,PullRequestEvent,884,12473,637476776,2096907,355210,7153337
Perl,PushEvent,10162,113275,3247285065,672571,347472,1778803
Haxe,PushEvent,567,8674,108963888,134888,110369,514024
Lua,PullRequestEvent,561,6124,222740965,273999,60895,641197
Groovy,WatchEvent,832,3132,23865207,67142,21936,302179
Scala,DeleteEvent,619,4597,265998244,272227,65817,946648
