repository_language,type,active_repos_by_url,events,year,quarter
DCPU-16 ASM,IssuesEvent,11,270,2012,2
Julia,WatchEvent,27,547,2012,2
PowerShell,ForkEvent,42,367,2012,2
Tcl,IssuesEvent,14,149,2012,2
Matlab,IssuesEvent,41,668,2012,2
Parrot,IssuesEvent,4,114,2012,2
Nemerle,PushEvent,37,805,2012,2
F#,WatchEvent,93,859,2012,2
DCPU-16 ASM,ForkEvent,23,234,2012,2
DCPU-16 ASM,WatchEvent,41,948,2012,2
Pure Data,PushEvent,63,1104,2012,2
Kotlin,WatchEvent,11,101,2012,2
Delphi,IssuesEvent,27,352,2012,2
Assembly,IssuesEvent,30,355,2012,2
Kotlin,PushEvent,24,1012,2012,2
Vala,IssuesEvent,21,204,2012,2
ColdFusion,WatchEvent,198,1594,2012,2
Elixir,WatchEvent,19,506,2012,2
Rebol,WatchEvent,1,56,2012,2
Racket,WatchEvent,60,326,2012,2
Rust,ForkEvent,42,316,2012,2
F#,IssuesEvent,23,304,2012,2
Arduino,WatchEvent,146,1032,2012,2
Gosu,PushEvent,20,250,2012,2
F#,ForkEvent,46,291,2012,2
Dart,WatchEvent,100,1266,2012,2
Apex,IssuesEvent,16,226,2012,2
Parrot,PushEvent,11,1381,2012,2
Smalltalk,ForkEvent,28,173,2012,2
VHDL,ForkEvent,10,39,2012,2
Verilog,WatchEvent,61,380,2012,2
Matlab,ForkEvent,99,374,2012,2
PowerShell,IssuesEvent,27,330,2012,2
Fancy,PushEvent,6,405,2012,2
Prolog,ForkEvent,25,81,2012,2
Opa,WatchEvent,23,101,2012,2
Verilog,IssuesEvent,7,47,2012,2
Factor,IssuesEvent,1,176,2012,2
AutoHotkey,ForkEvent,12,204,2012,2
ooc,PushEvent,33,788,2012,2
Ruby,CreateEvent,192,567,2012,2
Elixir,ForkEvent,10,123,2012,2
FORTRAN,WatchEvent,72,382,2012,2
Arduino,IssuesEvent,29,287,2012,2
Puppet,IssuesEvent,82,486,2012,2
Scilab,ForkEvent,6,35,2012,2
Python,CreateEvent,83,237,2012,2
Pure Data,WatchEvent,31,191,2012,2
Tcl,WatchEvent,46,282,2012,2
Shell,CreateEvent,28,86,2012,2
Dart,ForkEvent,53,242,2012,2
Java,CreateEvent,91,260,2012,2
Arc,WatchEvent,15,143,2012,2
Scheme,IssuesEvent,19,94,2012,2
Objective-J,WatchEvent,97,920,2012,2
Turing,PushEvent,14,264,2012,2
Boo,PushEvent,18,250,2012,2
Vala,ForkEvent,27,108,2012,2
Vala,WatchEvent,59,321,2012,2
Dylan,ForkEvent,7,30,2012,2
Arduino,ForkEvent,68,289,2012,2
Smalltalk,IssuesEvent,19,424,2012,2
Pure Data,ForkEvent,7,24,2012,2
Nimrod,PushEvent,14,474,2012,2
Eiffel,WatchEvent,14,66,2012,2
Visual Basic,ForkEvent,59,281,2012,2
C,CreateEvent,29,85,2012,2
Eiffel,ForkEvent,14,51,2012,2
Perl,CreateEvent,19,57,2012,2
Apex,ForkEvent,17,149,2012,2
Julia,IssuesEvent,6,466,2012,2
Delphi,ForkEvent,42,301,2012,2
XQuery,WatchEvent,26,123,2012,2
Prolog,WatchEvent,46,171,2012,2
Julia,ForkEvent,8,185,2012,2
Arc,PushEvent,17,242,2012,2
Rebol,PushEvent,10,118,2012,2
Tcl,ForkEvent,20,92,2012,2
ASP,WatchEvent,32,141,2012,2
Opa,PushEvent,21,311,2012,2
CoffeeScript,CreateEvent,9,27,2012,2
FORTRAN,ForkEvent,36,190,2012,2
Coq,WatchEvent,15,65,2012,2
Scheme,ForkEvent,64,273,2012,2
Scheme,CreateEvent,1,2,2012,2
Ada,WatchEvent,21,105,2012,2
Nu,WatchEvent,6,29,2012,2
XQuery,IssuesEvent,11,333,2012,2
Dart,IssuesEvent,15,91,2012,2
Self,PushEvent,2,147,2012,2
AutoHotkey,WatchEvent,36,209,2012,2
Nimrod,WatchEvent,8,83,2012,2
Nemerle,WatchEvent,15,185,2012,2
Standard ML,ForkEvent,5,23,2012,2
SuperCollider,ForkEvent,5,18,2012,2
SuperCollider,WatchEvent,21,110,2012,2
Ada,ForkEvent,10,35,2012,2
SuperCollider,IssuesEvent,5,29,2012,2
ooc,ForkEvent,7,18,2012,2
Opa,ForkEvent,8,45,2012,2
Standard ML,IssuesEvent,3,42,2012,2
Emacs Lisp,CreateEvent,104,312,2012,2
ASP,ForkEvent,16,54,2012,2
OpenEdge ABL,ForkEvent,2,8,2012,2
Coq,ForkEvent,9,32,2012,2
Logtalk,PushEvent,3,105,2012,2
eC,WatchEvent,2,6,2012,2
C#,CreateEvent,9,23,2012,2
Coq,IssuesEvent,2,74,2012,2
OpenEdge ABL,WatchEvent,5,19,2012,2
Self,WatchEvent,3,52,2012,2
Io,WatchEvent,20,61,2012,2
Fancy,WatchEvent,5,44,2012,2
Mirah,WatchEvent,12,54,2012,2
ooc,WatchEvent,20,66,2012,2
Nemerle,ForkEvent,10,100,2012,2
XQuery,ForkEvent,16,58,2012,2
Eiffel,IssuesEvent,2,33,2012,2
Scilab,IssuesEvent,4,23,2012,2
Racket,IssuesEvent,13,60,2012,2
Bro,PushEvent,8,108,2012,2
Max/MSP,IssuesEvent,2,24,2012,2
ooc,IssuesEvent,1,3,2012,2
VimL,CreateEvent,35,102,2012,2
Boo,WatchEvent,8,50,2012,2
Dylan,WatchEvent,7,39,2012,2
Prolog,IssuesEvent,14,125,2012,2
Nemerle,IssuesEvent,3,113,2012,2
Arc,ForkEvent,3,15,2012,2
Clojure,CreateEvent,7,21,2012,2
Standard ML,WatchEvent,17,71,2012,2
Factor,WatchEvent,11,80,2012,2
Boo,ForkEvent,5,14,2012,2
VHDL,IssuesEvent,6,180,2012,2
Io,ForkEvent,8,22,2012,2
Augeas,PushEvent,8,79,2012,2
ASP,IssuesEvent,7,116,2012,2
Turing,ForkEvent,4,20,2012,2
Pure Data,IssuesEvent,1,29,2012,2
Turing,WatchEvent,6,86,2012,2
Nimrod,ForkEvent,2,12,2012,2
Augeas,ForkEvent,2,13,2012,2
Kotlin,ForkEvent,4,17,2012,2
Augeas,WatchEvent,3,16,2012,2
Groovy,CreateEvent,6,17,2012,2
Scala,CreateEvent,12,31,2012,2
Lua,CreateEvent,3,8,2012,2
Matlab,CreateEvent,3,9,2012,2
Parrot,WatchEvent,6,46,2012,2
Logtalk,WatchEvent,3,21,2012,2
Haskell,CreateEvent,7,20,2012,2
Scilab,WatchEvent,8,45,2012,2
Factor,ForkEvent,3,29,2012,2
Racket,CreateEvent,1,3,2012,2
Self,ForkEvent,1,12,2012,2
Ada,IssuesEvent,2,6,2012,2
Mirah,ForkEvent,3,7,2012,2
Max/MSP,WatchEvent,1,3,2012,2
Common Lisp,CreateEvent,1,3,2012,2
Parrot,ForkEvent,3,13,2012,2
Nu,ForkEvent,1,3,2012,2
Assembly,CreateEvent,1,3,2012,2
Gosu,ForkEvent,2,6,2012,2
R,CreateEvent,5,15,2012,2
Bro,WatchEvent,1,3,2012,2
Puppet,CreateEvent,4,12,2012,2
Io,IssuesEvent,2,27,2012,2
Kotlin,CreateEvent,1,3,2012,2
Fancy,ForkEvent,1,3,2012,2
Vala,CreateEvent,2,6,2012,2
OpenEdge ABL,IssuesEvent,1,3,2012,2
Ioke,WatchEvent,1,3,2012,2
Gosu,WatchEvent,5,20,2012,2
Fancy,IssuesEvent,1,2,2012,2
Powershell,IssuesEvent,1,3,2012,2
Arduino,CreateEvent,2,6,2012,2
Opa,IssuesEvent,1,3,2012,2
Rebol,ForkEvent,1,6,2012,2
Tcl,CreateEvent,1,3,2012,2
Turing,IssuesEvent,2,10,2012,2
Nu,PushEvent,1,2,2012,2
eC,ForkEvent,1,3,2012,2
Go,CreateEvent,3,8,2012,2
Arc,IssuesEvent,1,3,2012,2
Fantom,PushEvent,3,18,2012,2
ASP,CreateEvent,1,3,2012,2
VHDL,CreateEvent,1,3,2012,2
DCPU-16 Assembly,PushEvent,2,6,2012,2
Gosu,IssuesEvent,1,3,2012,2
